Census year,Block ID,Property ID,Base property ID,Building name,Street address,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers,x coordinate,y coordinate,Location
2019,305,106530,106530,,50B Melrose Street NORTH MELBOURNE 3051,North Melbourne,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9423,-37.7936,POINT (144.9423033 -37.79362423)
2019,773,637421,637421,,25 South Wharf Drive DOCKLANDS 3008,Docklands,2012.0,,3.0,House/Townhouse,Not determined or not applicable,Access has not been rated,0.0,0.0,,144.9397,-37.8231,POINT (144.9397216 -37.82310759)
2019,206,102593,102593,,16 Dorrit Street CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9664,-37.8002,POINT (144.9664323 -37.8001656)
2019,84,105454,105454,,333-335 La Trobe Street MELBOURNE 3000,Melbourne (CBD),1901.0,,2.0,Unoccupied - Under Renovation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9596,-37.8111,POINT (144.9596447 -37.81106976)
2019,609,107681,107681,Wyoming,86 Powlett Street EAST MELBOURNE 3002,East Melbourne,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.986,-37.8139,POINT (144.9859948 -37.81389201)
2019,15,104013,104013,Unilodge on Flinders,238-242 Flinders Street MELBOURNE 3000,Melbourne (CBD),1932.0,1999.0,14.0,Student Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9664,-37.8174,POINT (144.966364 -37.81736494)
2019,2386,616163,616161,,12 Sutton Street NORTH MELBOURNE 3051,North Melbourne,,,22.0,Residential Apartment,High level of accessibility,Main Entrance has ramp,3.0,0.0,,144.941,-37.7916,POINT (144.9409505 -37.79163059)
2019,202,109340,109340,Rosemount Cottage,904 Swanston Street CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9653,-37.7953,POINT (144.9652657 -37.79525566)
2019,229,109086,109086,,155 Station Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9743,-37.7937,POINT (144.9743326 -37.79370115)
2019,776,110532,110532,,99-111 Lorimer Street DOCKLANDS 3008,Docklands,2001.0,,2.0,Retail - Showroom,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,10.0,,144.9394,-37.8243,POINT (144.9394049 -37.82425905)
2019,238,107121,107121,,23 Owen Street CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9735,-37.8008,POINT (144.973492 -37.80075221)
2019,612,108763,108763,,177 Simpson Street EAST MELBOURNE 3002,East Melbourne,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9886,-37.8103,POINT (144.9885543 -37.8103326)
2019,773,627698,627698,,42 South Wharf Drive DOCKLANDS 3008,Docklands,2011.0,,3.0,House/Townhouse,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9387,-37.8225,POINT (144.938682 -37.82251317)
2019,265,101580,101580,,53 Cardigan Street CARLTON 3053,Carlton,1896.0,,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9643,-37.8055,POINT (144.9642698 -37.80548275)
2019,207,101665,101665,,318 Cardigan Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9663,-37.7974,POINT (144.966291 -37.79737685)
2019,219,102737,102737,,250 Drummond Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9688,-37.8002,POINT (144.9688291 -37.80020273)
2019,301,106526,106526,,92 Melrose Street NORTH MELBOURNE 3051,North Melbourne,1920.0,,1.0,Office,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9426,-37.7919,POINT (144.9426337 -37.79187656)
2019,604,105000,105000,,52 Hotham Street EAST MELBOURNE 3002,East Melbourne,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9887,-37.8142,POINT (144.9887055 -37.81424289)
